,match_id,home_team,away_team,prematch_url,refreshed_at,odds_1,odds_X,odds_2,1X2 Vig,1X2 timestamp,odds_1X,odds_X2,odds_12,DC Vig,DC timestamp,odds_gol,odds_nogol,G/NG timestamp,G/NG Vig,odds_under_2.5,odds_over_2.5,U/O 2.5 timestamp,U/O 2.5 Vig
15,28933540,Bayern,Benfica,https://www.snai.it/sport/CALCIO/CHAMPIONS%20LEAGUE/BAYERN%20-%20BENFICA,,1.15,8.25,16.0,5.058244077867268,2021-11-02 18:25:15,1.01,4.5,1.07,6.842453092225625,2021-11-02 10:24:22,1.95,1.77,2021-11-02 18:25:15,7.217741935483877,3.3,1.28,2021-11-02 18:25:15,7.772925764192135
16,28933542,Dynamo Kiev,Barcellona,https://www.snai.it/sport/CALCIO/CHAMPIONS%20LEAGUE/DYNAMO%20KIEV%20-%20BARCELLONA,,5.5,4.0,1.6,5.37634408602151,2021-11-02 18:25:21,2.25,1.13,1.23,6.647114136031891,2021-11-02 18:25:21,1.7,2.05,2021-11-02 18:25:21,7.066666666666677,2.05,1.7,2021-11-02 10:24:34,7.066666666666677
17,28933614,Juventus,Zenit St Pietroburgo,https://www.snai.it/sport/CALCIO/CHAMPIONS%20LEAGUE/JUVENTUS%20-%20ZENIT%20ST%20PIETROBURGO,,1.55,4.0,6.0,5.822784810126578,2021-11-02 18:25:28,1.11,2.4,1.23,6.128657986334922,2021-11-02 18:25:28,1.77,1.92,2021-11-02 18:25:28,7.902439024390249,1.97,1.75,2021-11-02 10:24:46,7.325268817204296
18,28933590,Siviglia,Lille,https://www.snai.it/sport/CALCIO/CHAMPIONS%20LEAGUE/SIVIGLIA%20-%20LILLE,,1.6,3.75,6.25,4.9128367670364375,2021-11-02 18:25:34,1.1,2.3,1.25,6.7109144542772885,2021-11-02 18:25:34,2.05,1.7,2021-11-02 10:24:58,7.066666666666677,1.7,2.05,2021-11-02 18:25:34,7.066666666666677
19,28933566,Villarreal,Young Boys,https://www.snai.it/sport/CALCIO/CHAMPIONS%20LEAGUE/VILLARREAL%20-%20YOUNG%20BOYS,,1.42,4.75,7.0,5.447081205567246,2021-11-02 18:25:40,1.08,2.75,1.17,6.727865684261379,2021-11-02 18:25:40,1.6,2.2,2021-11-02 18:25:40,7.368421052631582,2.55,1.45,2021-11-02 18:25:40,7.562499999999999
20,27965404,Athletic Bilbao,Cadiz,https://www.snai.it/sport/CALCIO/LIGA/ATHLETIC%20BILBAO%20-%20CADIZ,2021-11-04 09:15:33.714496,1.4,4.5,8.0,5.794392523364486,2021-11-03 07:18:57,1.06,2.8,1.18,6.889987770510972,2021-11-03 07:18:57,2.25,1.57,2021-11-03 17:09:47,7.526178010471209,1.75,1.97,2021-11-03 17:09:47,7.325268817204296
21,27965412,Espanyol,Granada,https://www.snai.it/sport/CALCIO/LIGA/ESPANYOL%20-%20GRANADA,2021-11-04 09:15:40.063771,1.85,3.35,4.5,5.773291663147215,2021-11-03 07:19:04,1.18,1.95,1.3,6.081632653061237,2021-11-02 08:29:41,2.0,1.75,2021-11-03 07:19:04,6.666666666666664,1.6,2.2,2021-10-31 18:04:34,7.368421052631582
22,27965402,Alaves,Levante,https://www.snai.it/sport/CALCIO/LIGA/ALAVES%20-%20LEVANTE,2021-11-04 09:15:52.842162,2.55,3.1,3.15,3.1193463670849213,2021-11-03 07:19:16,1.33,1.48,1.35,7.761675836095718,2021-11-03 07:19:16,1.9,1.8,2021-10-31 18:04:48,7.567567567567576,1.55,2.3,2021-10-31 18:04:48,7.402597402597404
23,28018254,Lens,Troyes,https://www.snai.it/sport/CALCIO/LIGUE%201/LENS%20-%20TROYES,2021-11-04 09:24:26.281464,1.63,4.0,5.0,5.970579751946925,2021-11-03 07:22:31,1.15,2.2,1.22,6.7069669034305734,2021-11-03 07:22:31,1.75,2.0,2021-11-03 17:23:58,6.666666666666664,1.95,1.75,2021-11-03 17:23:58,7.770270270270283
24,28018316,Nantes,Strasburgo,https://www.snai.it/sport/CALCIO/LIGUE%201/NANTES%20-%20STRASBURGO,2021-11-04 09:24:58.292558,2.35,3.3,3.0,5.828779599271407,2021-11-03 07:23:03,1.35,1.55,1.3,7.198294243070362,2021-11-02 08:35:35,1.82,1.9,2021-11-03 07:23:03,7.043010752688164,1.7,2.05,2021-11-04 08:24:58,7.066666666666677
25,28018324,Saint Etienne,Clermont,https://www.snai.it/sport/CALCIO/LIGUE%201/SAINT%20ETIENNE%20-%20CLERMONT,2021-11-04 09:25:11.361818,2.55,3.2,2.8,5.820280296784831,2021-11-03 07:23:15,1.4,1.48,1.3,7.372764786795041,2021-11-01 20:20:07,1.55,2.35,2021-11-03 07:23:15,6.602564102564106,2.0,1.7,2021-10-31 18:10:20,8.10810810810812
26,28933414,Liverpool,Atletico Madrid,https://www.snai.it/sport/CALCIO/CHAMPIONS%20LEAGUE/LIVERPOOL%20-%20ATLETICO%20MADRID,2021-11-03 18:25:41.252777,1.65,3.9,5.0,5.879771829749895,2021-11-03 07:24:16,1.16,2.2,1.24,5.796618242438673,2021-11-03 07:24:16,1.6,2.15,2021-11-03 11:29:11,8.266666666666662,2.15,1.63,2021-11-03 11:29:11,7.288359788359784
27,28160050,Cagliari,Atalanta,https://www.snai.it/sport/CALCIO/SERIE%20A/CAGLIARI%20-%20ATALANTA,2021-11-04 09:44:15.799466,5.5,4.5,1.55,4.689440993788823,2021-11-03 10:55:51,2.4,1.13,1.19,6.6275116813980075,2021-11-03 10:55:51,1.57,2.25,2021-11-03 10:55:51,7.526178010471209,2.4,1.5,2021-11-03 07:06:15,7.692307692307685
28,27751266,Manchester United,Manchester City,https://www.snai.it/sport/CALCIO/PREMIER%20LEAGUE/MANCHESTER%20UNITED%20-%20MANCHESTER%20CITY,2021-11-04 09:13:56.673904,4.5,3.9,1.7,6.267672007540055,2021-11-03 11:03:13,2.1,1.19,1.23,6.082771896053907,2021-11-04 08:13:56,1.53,2.35,2021-11-03 11:03:13,7.33247422680413,2.3,1.55,2021-11-03 16:51:06,7.402597402597404
